sample_id,run_id,group,severity,bad_name,ground_truth,equiv_step_entropy,equiv_step_gt_prob,equiv_step_confidence,probe_entropy,probe_gt_prob,probe_confidence
358,8,control,none,,response,0,0,1,0.5296777486801147,1.5733020575225964e-07,0.7965868711471558
362,8,smell,severe,a1,valueString,1,2,1,0.39673709869384766,7.710921067882737e-06,0.7540439963340759
362,8,smell,moderate,bar,valueString,1,2,2,0.7028971910476685,4.1167473341374716e-07,0.648868978023529
362,8,smell,mild,result1,valueString,1,2,1,0.5035262107849121,1.1910177420304535e-05,0.7908951044082642
362,8,control,none,,valueString,1,2,1,0.43066927790641785,3.349316983758399e-07,0.7579400539398193
363,8,smell,severe,x,source,1,0,1,0.08715736120939255,1.7760281423306878e-07,0.9876111149787903
363,8,smell,moderate,foo,source,1,0,1,0.08943995088338852,5.6736826792302963e-08,0.987116277217865
363,8,smell,mild,value1,source,0,0,0,0.038066331297159195,3.7644948491788455e-08,0.9949805736541748
363,8,control,none,,source,1,0,1,0.08630929887294769,2.5433624273318856e-07,0.9873470067977905
366,8,smell,severe,a,onthrowMethod,0,0,0,8.422319660894573e-05,1.4217222885082315e-11,0.9999954700469971
366,8,smell,moderate,tmp,onthrowMethod,0,0,0,1.0129549503326416,2.695743148706242e-07,0.8150166869163513
366,8,smell,mild,value1,onthrowMethod,0,0,0,0.5685808062553406,5.340095193817618e-08,0.8693865537643433
366,8,control,none,,onthrowMethod,0,0,0,0.40669047832489014,2.199061364498156e-07,0.875870406627655
372,8,smell,severe,a,equal,1,1,1,0.14406663179397583,3.379505506018177e-05,0.9861506819725037
372,8,smell,moderate,bar,equal,1,1,1,0.11807739734649658,7.180566171882674e-05,0.9897555708885193
372,8,smell,mild,item,equal,1,1,1,0.1286487579345703,0.00027524709003046155,0.9897118806838989
372,8,control,none,,equal,1,1,1,0.08909371495246887,7.833650670363568e-06,0.9929431080818176
377,8,smell,severe,xx,listener,0,0,0,1.5618224143981934,3.397569571461645e-06,0.6427112817764282
377,8,smell,moderate,tmp,listener,1,0,1,3.207058906555176,3.7738296668976545e-05,0.3603164255619049
377,8,smell,mild,myVar,listener,0,0,0,0.34680524468421936,2.5949704607342028e-09,0.8868392705917358
377,8,control,none,,listener,0,0,0,0.6839122772216797,3.930846332877991e-07,0.7208199501037598
379,8,smell,severe,a1,vPath,2,2,2,0.5376572608947754,1.868305343322163e-06,0.9256907105445862
379,8,smell,moderate,foo,vPath,2,2,2,1.061572551727295,5.505062745214673e-06,0.8855369091033936
379,8,smell,mild,item,vPath,2,2,2,1.215038537979126,3.6342460134619614e-06,0.8606142997741699
379,8,control,none,,vPath,2,2,0,0.399789959192276,2.5962140142610224e-05,0.956975519657135
380,8,smell,severe,x,webSocketClient,2,0,3,1.4099053144454956,3.5471034607326146e-06,0.8060262799263
380,8,smell,moderate,data,webSocketClient,1,0,0,0.19729110598564148,3.7528383245444275e-07,0.9704861044883728
380,8,smell,mild,item,webSocketClient,1,0,0,0.2260579764842987,1.4582833784970717e-07,0.9705443382263184
380,8,control,none,,webSocketClient,0,0,0,0.03731939196586609,9.554333379087805e-08,0.9934913516044617
381,8,smell,severe,x,toBeReturned,0,0,0,0.04796907678246498,8.415955710106005e-10,0.9949164390563965
381,8,smell,moderate,bar,toBeReturned,0,0,0,0.08464720845222473,6.385725281887744e-09,0.9902223348617554
381,8,smell,mild,item,toBeReturned,0,0,0,0.2909253239631653,1.2512900049443942e-08,0.9605437517166138
381,8,control,none,,toBeReturned,0,0,0,0.0720258504152298,2.1258574493347265e-08,0.9879016876220703
382,8,smell,severe,a1,array,0,0,0,0.11094847321510315,6.346519967337372e-07,0.9788305759429932
382,8,smell,moderate,bar,array,0,0,0,0.12431013584136963,3.435945643559535e-07,0.9758673906326294
382,8,smell,mild,value1,array,0,0,0,0.30570653080940247,3.3848989460238954e-06,0.9341456890106201
382,8,control,none,,array,0,0,0,0.22806903719902039,8.793703898390959e-08,0.9425703287124634
387,8,smell,severe,xx,unstubbedIterator,0,0,0,0.23416750133037567,1.0935208649698325e-07,0.9717146754264832
387,8,smell,moderate,bar,unstubbedIterator,0,0,0,0.19416239857673645,2.8141052155206125e-08,0.9736908674240112
387,8,smell,mild,result1,unstubbedIterator,0,0,0,0.2575596570968628,2.7820390213761925e-08,0.9604359865188599
387,8,control,none,,unstubbedIterator,0,0,0,0.11343333125114441,1.2999778871147782e-06,0.9784330725669861
396,8,smell,severe,x,secretSettings,0,0,1,0.6109313368797302,2.5882377485686447e-06,0.8917821645736694
396,8,smell,moderate,tmp,secretSettings,0,0,0,0.42425376176834106,3.287172148702666e-05,0.9296957850456238
396,8,smell,mild,item,secretSettings,0,0,0,0.18000337481498718,1.8477374396752566e-05,0.976321280002594
396,8,control,none,,secretSettings,0,0,0,0.04807301610708237,2.2924042131222677e-07,0.9930456280708313
397,8,smell,severe,a,positionCount,0,0,0,0.27175143361091614,1.2129640936109354e-07,0.9437998533248901
397,8,smell,moderate,data,positionCount,0,0,1,0.8567867875099182,2.866083264052577e-07,0.5024816989898682
397,8,smell,mild,temp1,positionCount,0,0,0,0.06459065526723862,6.560265834176793e-07,0.9911321401596069
397,8,control,none,,positionCount,0,0,0,0.08414414525032043,9.382197596607966e-07,0.9863804578781128
398,8,smell,severe,x,elements,0,0,1,0.5772874355316162,1.6534454516659025e-07,0.7988281846046448
398,8,smell,moderate,foo,elements,0,0,1,0.530471682548523,5.0085464664562096e-08,0.8043360710144043
398,8,smell,mild,value1,elements,0,0,0,0.3006541132926941,6.885127135092262e-09,0.8972278833389282
398,8,control,none,,elements,0,0,1,0.7043291330337524,4.476700269151479e-06,0.6738488674163818
399,8,smell,severe,a,classVisitor,2,1,2,8.26662826538086,0.005180344916880131,0.09774594008922577
399,8,smell,moderate,bar,classVisitor,0,0,0,0.2415175884962082,1.0168388087095082e-07,0.9580997824668884
399,8,smell,mild,myVar,classVisitor,0,0,0,0.12942467629909515,4.5828192440922066e-07,0.9754050970077515
399,8,control,none,,classVisitor,0,0,0,0.11924652010202408,7.957400519204016e-07,0.9810457229614258
406,8,smell,severe,a1,context,0,0,0,0.13731347024440765,7.728984741106615e-08,0.9742532968521118
406,8,smell,moderate,val,context,0,0,0,0.33824148774147034,3.3940041248570196e-06,0.9619309306144714
406,8,smell,mild,value1,context,0,0,0,0.210457444190979,8.651840488482776e-08,0.9560195207595825
406,8,control,none,,context,0,0,0,0.1896347552537918,1.0806258643469846e-07,0.9602560997009277
422,8,smell,severe,a1,resolverChain,0,0,1,0.9401975274085999,4.927088673944979e-06,0.7805660963058472
422,8,smell,moderate,val,resolverChain,2,0,2,4.401879787445068,9.136944754573051e-06,0.23667317628860474
422,8,smell,mild,result1,resolverChain,0,0,0,0.7692000865936279,1.3083333433527855e-05,0.8340227603912354
422,8,control,none,,resolverChain,0,0,1,0.5681479573249817,1.132208928833478e-07,0.7707459926605225
423,8,smell,severe,a1,section,1,0,1,0.5066636204719543,8.524776262675005e-08,0.9230431318283081
423,8,smell,moderate,foo,section,0,0,1,0.31870996952056885,2.7675380920300086e-07,0.9389170408248901
423,8,smell,mild,result1,section,1,0,1,0.4342968463897705,9.430006997490636e-08,0.9337393045425415
423,8,control,none,,section,0,0,0,0.20689603686332703,1.9089375200564973e-05,0.9776254296302795
425,8,smell,severe,xx,expected,0,0,0,0.6067843437194824,1.342122232017573e-06,0.8115912675857544
425,8,smell,moderate,tmp,expected,0,0,0,0.859649658203125,6.427588914448279e-07,0.7079464793205261
425,8,smell,mild,result1,expected,0,0,0,0.4408460557460785,8.917000741348602e-06,0.799962043762207
425,8,control,none,,expected,0,0,0,0.7101526856422424,4.5343447709456086e-05,0.7307054400444031
432,8,smell,severe,x,oninvokeInstance,1,0,1,1.869246244430542,1.0235855825158069e-06,0.6537623405456543
432,8,smell,moderate,bar,oninvokeInstance,1,0,1,1.7442004680633545,7.468198646165547e-07,0.617274284362793
432,8,smell,mild,result1,oninvokeInstance,0,0,0,0.7751415371894836,1.5986770374176729e-07,0.8212593197822571
432,8,control,none,,oninvokeInstance,0,1,0,0.47193145751953125,3.408663308971752e-05,0.8856028318405151
433,8,smell,severe,xx,target,0,0,0,0.09505465626716614,1.2756673939406937e-08,0.9869373440742493
433,8,smell,moderate,bar,target,0,0,0,0.17705075442790985,3.278495697145445e-08,0.9702795147895813
433,8,smell,mild,myVar,target,0,0,0,0.2010827362537384,2.9027058090491664e-08,0.9597119092941284
433,8,control,none,,target,0,0,0,0.2435157299041748,9.312358088209294e-06,0.9484575390815735
436,8,smell,severe,a,processor,1,0,1,0.2017679065465927,2.2156944396556355e-05,0.9705817699432373
436,8,smell,moderate,foo,processor,1,0,1,0.2967698574066162,2.8116226530983113e-05,0.9591923356056213
436,8,smell,mild,item,processor,0,0,0,0.13438931107521057,1.2753376722685061e-05,0.9804785847663879
436,8,control,none,,processor,0,0,1,0.1400042474269867,4.080803535089217e-07,0.9759911894798279
440,8,smell,severe,x,entry,0,0,0,0.13654786348342896,1.5328112112911185e-08,0.9792962670326233
440,8,smell,moderate,foo,entry,0,0,0,0.15563668310642242,1.464038934528844e-08,0.9764254689216614
440,8,smell,mild,result1,entry,0,0,0,0.1446194052696228,3.306425355731335e-09,0.9782657027244568
440,8,control,none,,entry,0,0,0,0.10712844133377075,1.1540283821886987e-06,0.9841254949569702
443,8,smell,severe,x,newIndex,1,0,0,1.4900649785995483,2.6094646727869986e-06,0.7137657999992371
443,8,smell,moderate,tmp,newIndex,0,0,0,0.5885387063026428,7.019779673100857e-07,0.8795470595359802
443,8,smell,mild,item,newIndex,0,0,0,0.004847346805036068,2.8827371600925744e-09,0.9995369911193848
443,8,control,none,,newIndex,0,0,0,0.6472081542015076,1.4253236031436245e-06,0.7145432829856873
446,8,smell,severe,xx,sampleToCompute,0,0,0,0.16512906551361084,1.2496268020356638e-08,0.9743732213973999
446,8,smell,moderate,val,sampleToCompute,0,0,0,0.34681037068367004,1.8431284942721504e-08,0.9278905987739563
446,8,smell,mild,result1,sampleToCompute,0,0,0,0.4865703880786896,5.7008957554671724e-09,0.865770697593689
446,8,control,none,,sampleToCompute,0,0,0,0.16373774409294128,3.8601374474644956e-07,0.9644920825958252
459,8,smell,severe,a,title,0,0,0,0.0003832236980088055,2.437354137962977e-11,0.9999771118164062
459,8,smell,moderate,tmp,title,0,0,0,0.6246397495269775,3.082856636638098e-08,0.7403120994567871
459,8,smell,mild,temp1,title,0,0,0,0.32699891924858093,2.082845007578271e-09,0.8735213279724121
459,8,control,none,,title,0,0,0,0.6618490219116211,1.562499107876647e-07,0.6766783595085144
11,9,smell,severe,a1,context,1,0,0,0.725859522819519,1.5876317775109783e-05,0.8949999809265137
11,9,smell,moderate,bar,context,1,0,0,0.5259050130844116,1.120530032494571e-05,0.9461315870285034
11,9,smell,mild,item,context,0,0,0,0.34839507937431335,7.46618661651155e-06,0.9463657736778259
11,9,control,none,,context,0,0,0,0.20420309901237488,3.2110619940795004e-07,0.9557642340660095
14,9,smell,severe,a1,queryBuilder,0,0,0,0.19694264233112335,8.822573832389935e-06,0.9580222368240356
14,9,smell,moderate,foo,queryBuilder,0,0,2,0.34240683913230896,8.613051249994896e-07,0.9140984416007996
14,9,smell,mild,value1,queryBuilder,0,0,2,0.4174175262451172,0.00013619343489779112,0.8533969521522522
14,9,control,none,,queryBuilder,0,0,0,0.07447748631238937,3.386194402987819e-06,0.9860469102859497
17,9,smell,severe,a,millis,0,0,0,0.0617377832531929,2.0421213609012057e-09,0.9907662868499756
17,9,smell,moderate,val,millis,0,0,0,0.08048371225595474,1.686721429194904e-09,0.9871046543121338
17,9,smell,mild,item,millis,0,0,0,0.15873806178569794,6.465911805975111e-09,0.971808135509491
17,9,control,none,,millis,0,0,0,0.15558774769306183,2.713709648105578e-07,0.9743067622184753
22,9,smell,severe,x,status,1,1,1,1.0213676691055298,0.0004414194554556161,0.9043715000152588
22,9,smell,moderate,tmp,status,1,0,1,0.7933881282806396,0.00023315681028179824,0.9207660555839539
22,9,smell,mild,temp1,status,1,0,1,0.27089616656303406,1.4712195479660295e-06,0.9680609107017517
22,9,control,none,,status,1,0,1,0.37146496772766113,3.99083255615551e-05,0.9357326030731201
24,9,smell,severe,x,request,0,0,0,0.05315351486206055,1.2888560263490945e-07,0.9950467348098755
24,9,smell,moderate,data,request,0,0,0,0.21425208449363708,1.6385949493269436e-05,0.9810947179794312
24,9,smell,mild,myVar,request,0,0,1,0.19509625434875488,1.441336383578573e-09,0.9542674422264099
24,9,control,none,,request,0,0,0,0.06075931340456009,4.32696424468304e-06,0.993129312992096
25,9,smell,severe,a1,requestUrl,0,0,0,0.4636535942554474,1.5730269886660153e-06,0.8466610908508301
25,9,smell,moderate,tmp,requestUrl,0,0,0,0.5109840035438538,1.9484255631141423e-07,0.8808611631393433
25,9,smell,mild,result1,requestUrl,0,0,0,0.4613981544971466,1.497985653742262e-06,0.8770981431007385
25,9,control,none,,requestUrl,0,0,0,0.31163835525512695,2.365779194768436e-07,0.8986220359802246
33,9,smell,severe,xx,clientId,0,0,0,0.3858409821987152,1.0181020115851425e-07,0.9352396726608276
33,9,smell,moderate,bar,clientId,0,0,0,0.4185234606266022,1.6155683013607813e-08,0.9216231107711792
33,9,smell,mild,temp1,clientId,0,0,0,0.48617419600486755,2.388323316893093e-08,0.8823033571243286
33,9,control,none,,clientId,0,0,0,0.8942039012908936,5.5128218434674636e-08,0.7411578893661499
43,9,smell,severe,a1,serviceTimeEWMA,0,0,0,0.17849746346473694,1.1437591185270435e-06,0.9752121567726135
43,9,smell,moderate,tmp,serviceTimeEWMA,0,0,0,0.21886120736598969,3.5956343680254577e-08,0.9689083695411682
43,9,smell,mild,value1,serviceTimeEWMA,0,0,0,0.15131111443042755,1.2360808532285716e-07,0.9769827127456665
43,9,control,none,,serviceTimeEWMA,0,0,0,0.11127559840679169,4.859822465286268e-07,0.9845954179763794
45,9,smell,severe,a1,context,0,0,0,0.3433617949485779,1.425167647539638e-05,0.8970322012901306
45,9,smell,moderate,tmp,context,0,0,0,0.6767173409461975,2.843988659151364e-05,0.8973197340965271
45,9,smell,mild,value1,context,0,0,0,0.3377434015274048,1.9041208361159079e-06,0.9215573072433472
45,9,control,none,,context,0,0,0,0.31072184443473816,1.4728779262895841e-07,0.913700520992279
47,9,smell,severe,a,builder,0,0,0,7.323579484364018e-05,3.279880533835211e-11,0.9999959468841553
47,9,smell,moderate,bar,builder,0,0,0,0.24833451211452484,1.9166554920957424e-05,0.9513781070709229
47,9,smell,mild,temp1,builder,0,0,0,0.19188295304775238,7.834429197828285e-06,0.9583505392074585
47,9,control,none,,builder,0,0,0,0.11059638857841492,0.00011372860899427906,0.9809874296188354
49,9,smell,severe,a1,response,0,0,0,0.35866525769233704,1.4882508025948482e-07,0.8430551290512085
49,9,smell,moderate,val,response,1,0,0,1.1702163219451904,2.6273324692738242e-05,0.8552756905555725
49,9,smell,mild,result1,response,0,0,0,0.4462912976741791,7.240744537284627e-08,0.862744927406311
49,9,control,none,,response,0,0,0,0.38970834016799927,1.5655422203053604e-06,0.8893376588821411
50,9,smell,severe,xx,parsed,0,0,0,0.08850188553333282,8.493279324284231e-07,0.9899800419807434
50,9,smell,moderate,data,parsed,0,0,0,0.1581728458404541,1.2173429695394589e-06,0.9752222299575806
50,9,smell,mild,value1,parsed,0,0,0,0.06308411806821823,8.911976934200538e-09,0.9913274645805359
50,9,control,none,,parsed,0,0,0,0.06876254826784134,2.9047165298834443e-05,0.9909515380859375
52,9,smell,severe,a,forwardButton,0,0,0,1.2017669677734375,8.855147939357266e-07,0.8424241542816162
52,9,smell,moderate,foo,forwardButton,0,0,0,1.1023045778274536,3.04140627349625e-07,0.8114758729934692
52,9,smell,mild,myVar,forwardButton,0,0,0,0.5455634593963623,4.437850251171049e-06,0.9113640785217285
52,9,control,none,,forwardButton,0,0,0,0.4512304365634918,6.252084645552713e-07,0.9123038053512573
53,9,smell,severe,a1,random,0,0,0,0.43714940547943115,0.004337923135608435,0.9238533973693848
53,9,smell,moderate,foo,random,0,0,0,0.7279098033905029,0.0003449623181950301,0.8525057435035706
53,9,smell,mild,item,random,0,0,0,1.448125958442688,0.0028735296800732613,0.6605290770530701
53,9,control,none,,random,0,0,0,0.30041825771331787,3.848603682854446e-06,0.9403056502342224
54,9,smell,severe,xx,observer,0,0,1,0.2703858017921448,4.3157027107554313e-07,0.9398025274276733
